LastReportDate,Sex,NZAgeGroup,Cases
2021-08-27,,20-34,3
2021-09-02,Female,5-19,318
2021-08-27,Female,<1,6
2021-09-02,Male,20-34,657
2021-04-06,Male,>=80,21
2021-08-30,Female,65-79,100
2021-09-01,Male,35-49,404
2021-09-01,Male,1-4,45
2021-08-28,,50-64,2
2021-09-01,Male,5-19,241
2021-09-02,Female,20-34,658
2021-09-01,Female,50-64,307
2021-09-01,Female,35-49,354
2021-08-29,,5-19,2
2021-08-31,Female,>=80,24
2021-08-31,Male,<1,16
2021-07-06,Unknown,35-49,2
2021-08-28,Male,65-79,137
2021-09-01,Female,1-4,61
2021-09-02,Male,50-64,339
