LastReportDate,Sex,NZAgeGroup,Cases
2021-09-14,,20-34,1
2021-09-21,Female,5-19,379
2021-09-19,,35-49,1
2021-09-13,Female,<1,8
2021-09-22,Male,20-34,723
2021-04-06,Male,>=80,21
2021-09-20,Female,65-79,106
2021-09-21,Male,35-49,437
2021-09-20,Male,1-4,62
2021-09-21,Male,5-19,323
2021-09-21,Female,20-34,719
2021-09-22,Female,50-64,330
2021-09-21,Female,35-49,384
2021-09-20,,5-19,1
2021-08-31,Female,>=80,24
2021-09-20,Male,<1,22
2021-07-06,Unknown,35-49,2
2021-09-16,Male,65-79,141
2021-09-21,Female,1-4,81
2021-09-18,Male,50-64,354
